"01.HSC"	"02.Early.Eryth"	"03.Late.Eryth"	"04.Early.Baso"	"05.CMP.LMPP"	"06.CLP.1"	"07.GMP"	"08.GMP.Neut"	"09.pDC"	"10.cDC"	"11.CD14.Mono.1"	"12.CD14.Mono.2"	"13.CD16.Mono"	"14.Unk"	"15.CLP.2"	"16.Pre.B"	"17.B"	"18.Plasma"	"19.CD8.N"	"20.CD4.N1"	"21.CD4.N2"	"22.CD4.M"	"23.CD8.EM"	"24.CD8.CM"	"25.NK"	"26.Unk"
"01.HSC"	0.907621247113164	0.0363247863247863	NA	NA	0.0293255131964809	0.00806451612903226	0.0046801872074883	0.00327868852459016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00154320987654321	NA
"02.Early.Eryth"	0.0069284064665127	0.891025641025641	0.0806451612903226	0.1875	0.00293255131964809	NA	0.0046801872074883	0.00655737704918033	NA	NA	NA	0.00703125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"03.Late.Eryth"	NA	0.032051282051282	0.911290322580645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"04.Early.Baso"	NA	0.00427350427350427	NA	0.78125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"05.CMP.LMPP"	0.0762124711316397	0.0235042735042735	NA	NA	0.881231671554252	0.0685483870967742	0.0202808112324493	0.0459016393442623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"06.CLP.1"	0.0092378752886836	NA	NA	NA	0.0117302052785924	0.879032258064516	0.0140405616224649	NA	NA	NA	NA	NA	NA	NA	0.00900900900900901	0.025	NA	NA	NA	NA	NA	NA	NA	0.00151285930408472	0.00154320987654321	NA
"07.GMP"	NA	0.00213675213675214	NA	NA	0.00439882697947214	0.0201612903225806	0.8798751950078	0.0721311475409836	NA	NA	0.0132075471698113	NA	NA	0.0283687943262411	NA	0.005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"08.GMP.Neut"	NA	0.0106837606837607	NA	0.03125	0.0703812316715543	NA	0.031201248049922	0.868852459016393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"09.pDC"	NA	NA	NA	NA	NA	NA	0.0187207488299532	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10.cDC"	NA	NA	NA	NA	NA	NA	0.0031201248049922	NA	NA	0.852631578947368	NA	NA	NA	0.00709219858156028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11.CD14.Mono.1"	NA	NA	0.00806451612903226	NA	NA	NA	0.0171606864274571	NA	NA	0.0210526315789474	0.767924528301887	0.096875	NA	0.0638297872340425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12.CD14.Mono.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.105263157894737	0.218867924528302	0.88828125	NA	0.397163120567376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13.CD16.Mono"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0105263157894737	NA	0.00625	1	0.049645390070922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0196078431372549
"14.Unk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00078125	NA	0.432624113475177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15.CLP.2"	NA	NA	NA	NA	NA	0.0241935483870968	0.0015600624024961	NA	NA	NA	NA	NA	NA	NA	0.990990990990991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16.Pre.B"	NA	NA	NA	NA	NA	NA	0.0031201248049922	0.00327868852459016	NA	NA	NA	NA	NA	NA	NA	0.95	0.00390625	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17.B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02	0.97265625	NA	NA	NA	NA	NA	NA	NA	NA	0.0980392156862745
"18.Plasma"	NA	NA	NA	NA	NA	NA	0.0015600624024961	NA	NA	0.0105263157894737	NA	NA	NA	NA	NA	NA	0.0234375	1	NA	NA	NA	NA	NA	NA	NA	NA
"19.CD8.N"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.853391684901532	0.0140252454417952	0.0234159779614325	NA	NA	0.0242057488653555	NA	NA
"20.CD4.N1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0350109409190372	0.740532959326788	0.0743801652892562	0.0475319926873857	NA	0.00605143721633888	NA	NA
"21.CD4.N2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0984682713347921	0.203366058906031	0.888429752066116	0.0557586837294333	NA	0.00907715582450832	NA	NA
"22.CD4.M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00709219858156028	NA	NA	NA	NA	0.00656455142231947	0.0420757363253857	0.0137741046831956	0.857404021937843	0.0224719101123595	0.075642965204236	NA	NA
"23.CD8.EM"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0164533820840951	0.943820224719101	0.0181543116490166	0.00154320987654321	NA
"24.CD8.CM"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0141843971631206	NA	NA	NA	NA	0.00656455142231947	NA	NA	0.0228519195612431	0.0337078651685393	0.845688350983359	0.0185185185185185	NA
"25.NK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00078125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0196671709531014	0.976851851851852	0.0196078431372549
"26.Unk"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.862745098039216
